comp,sp,fs,total
nhk 2010,69.31,138.41,207.72
cor 2010,70.24,132.42,202.66
jnats 2010,78.94,141.12,220.06
4cc 2011,76.43,151.58,228.01
nebelhorn 2011,75.26,151.00,226.26
coc 2011,81.37,145.16,226.53
cor 2011,82.78,158.88,241.66
gpf 2011,79.33,166.49,245.82
jnats 2011,74.32,167.59,241.91
wc 2012,77.07,173.99,251.06
finlandia 2012,75.57,172.56,248.13
skam 2012,95.07,148.67,243.74
nhk 2012,95.32,165.71,261.03
gpf 2012,87.17,177.12,264.29
jnats 2012,97.68,187.55,285.23
4cc 2013,87.65,158.73,246.38
wc 2013,75.94,169.05,244.99
finlandia 2013,84.66,180.93,265.59
sci 2013,80.40,154.40,234.80
tep 2013,95.37,168.22,263.59
gpf 2013,99.84,193.41,293.25
jnats 2013,103.10,184.70,297.80
olys 2014,101.45,178.64,280.09
wc 2014,91.24,191.35,282.59
coc 2014,82.95,154.60,237.55
nhk 2014,78.01,151.79,229.80
gpf 2014,94.08,194.08,288.16
jnats 2014,94.36,192.50,286.86
wc 2015,95.20,175.88,271.08
wtt 2015,96.27,192.31,288.58
aci 2015,93.14,184.05,277.19
sci 2015,73.25,186.29,259.54
nhk 2015,106.33,216.07,322.40
gpf 2015,110.95,219.48,330.43
jnats 2015,102.63,183.73,286.36
wc 2016,110.56,184.61,295.17
aci 2016,88.30,172.27,260.57
sci 2016,79.65,183.41,263.06
nhk 2016,103.89,197.58,301.47
gpf 2016,106.53,187.37,293.90
4cc 2017,97.04,206.67,303.71
wc 2017,98.39,223.20,321.59
wtt 2017,83.51,200.49,284.00
aci 2017,112.72,155.52,268.24
cor 2017,94.85,195.82,290.77
olys 2018,111.68,206.17,317.85
aci 2018,97.74,165.91,263.65
helsinki 2018,106.69,190.43,297.12
cor 2018,110.53,167.89,278.42
wc 2019,94.87,206.10,300.97
aci 2019,98.38,180.67,279.05
sci 2019,109.60,212.99,322.59
nhk 2019,109.34,195.71,305.05
gpf 2019,97.43,194.00,291.43
jnats 2019,110.72,172.05,282.77
4cc 2020,111.82,187.60,299.42
